Language	Concreteness	Mean	SE
Russian	Abstract	955.2533333	13.64538337
Hindi	Abstract	888.6821705	12.10131186
Korean	Abstract	800.5533333	15.44440198
Arabic	Abstract	695.94	15.35723261
Chinese	Abstract	760.12	13.20087905
Dutch	Abstract	999.4358974	15.50569609
Hebrew	Abstract	599.0666667	13.05365703
Russian	Concrete	663.8266667	14.22613377
Hindi	Concrete	628.1937984	18.50948145
Korean	Concrete	804.3	10.43359283
Arabic	Concrete	683.952381	9.917377524
Chinese	Concrete	722.4266667	8.475391347
Dutch	Concrete	674.017094	17.6412308
Hebrew	Concrete	556.6510067	7.948894816
