English,Spanish,CNC,IMG,FAM,EngFreq,SpanFreq
advantage,ventaja,282,292,562,22.06,28.10096154
arrangement,arreglo,308,316,525,9.45,20
bracelet,pulsera,602,606,547,7.8,3.894230769
shark,tibur—n,611,602,516,14.98,13.87019231
thief,ladr—n,519,529,529,24.27,28.38942308
advice,consejo,291,352,566,47.98,77.23557692
appointment,cita,341,386,541,30.57,149.1346154
beauty,belleza,336,513,561,48.24,43.46153846
bed,cama,635,635,636,187.12,178.1730769
behavior,comportamiento,295,351,573,22.39,24.78365385
bird,p‡jaro,602,614,592,45.45,23.125
blood,sangre,613,620,571,186.12,230.4807692
boat,barco,637,631,584,95.78,84.97596154
body,cuerpo,568,614,610,195.53,217.6682692
brain,cerebro,556,572,580,77.02,92.76442308
bridge,puente,623,608,561,45.71,40.33653846
butterfly,mariposa,593,624,481,5.51,6.706730769
ceiling,techo,606,557,531,8.35,41.44230769
chair,silla,606,610,617,49.24,55.45673077
christmas,Navidad,432,629,611,122.43,120.3365385
church,iglesia,587,616,560,69.67,82.93269231
city,ciudad,554,605,616,169.1,263.9423077
clothing,ropa,570,588,614,10.84,166.7307692
contempt,desprecio,182,,,5.02,5.072115385
cow,vaca,621,632,529,25.51,19.49519231
danger,peligro,338,505,557,43.67,83.79807692
darkness,oscuridad,419,622,578,17.49,40.33653846
debt,deuda,416,384,494,14.22,23.07692308
desk,escritorio,583,574,583,43.9,32.04326923
door,puerta,606,599,630,292.06,328.8701923
drum,tambor,602,599,506,8.47,4.663461538
duty,deber,322,346,543,50.96,28.96634615
faith,fe,270,,,46.33,61.10576923
father,padre,594,646,591,554.49,760.3365385
fog,niebla,556,606,546,9.45,6.057692308
food,comida,597,539,579,154.43,207.7644231
forest,bosque,609,633,513,18.88,54.18269231
freedom,libertad,277,437,568,33.1,87.8125
friendship,amistad,335,535,567,22.82,33.22115385
frog,rana,619,617,507,11.82,7.211538462
hatred,odio,239,417,544,5.41,148.1490385
horse,caballo,613,624,560,92.88,62.16346154
kindness,amabilidad,261,438,560,9.02,7.163461538
knife,cuchillo,612,633,573,46.8,41.53846154
knowledge,conocimiento,278,348,575,25.53,28.77403846
lake,lago,585,616,583,36,36.27403846
lane,carril,537,543,525,33.41,3.822115385
liar,mentiroso,409,425,534,35.14,33.62980769
mattress,colch—n,640,601,524,6.61,6.923076923
message,mensaje,459,438,557,91.51,137.3076923
month,mes,345,448,598,95.18,104.2307692
neighborhood,barrio,429,456,507,36.69,37.62019231
oven,horno,593,599,577,8.88,13.96634615
pig,cerdo,614,635,509,39.14,40.02403846
pillow,almohada,613,624,602,11.39,11.82692308
pool,piscina,573,577,541,46.98,34.75961538
puppy,perrito,623,635,522,11.45,13.75
quality,calidad,274,349,560,18.57,18.75
rabbit,conejo,635,611,523,20.94,22.13942308
relief,alivio,303,432,551,14.59,14.42307692
response,respuesta,300,348,544,16.1,111.6346154
shrimp,camar—n,629,618,546,8.71,3.149038462
sister,hermana,575,613,588,180.53,215.2884615
sky,cielo,542,618,607,44.8,144.9278846
soul,alma,289,366,544,76.96,81.20192308
street,calle,579,577,602,148.18,155.3365385
tax,impuesto,445,446,523,14.55,4.615384615
time,hora,343,413,604,1958.63,482.2355769
tongue,lengua,634,621,531,31.16,39.87980769
tool,herramienta,570,538,532,10.75,5.889423077
tree,‡rbol,604,622,613,65,52.54807692
truck,cami—n,595,621,620,72.86,62.93269231
water,agua,616,632,641,225.06,249.9278846
winter,invierno,499,621,615,26.22,23.96634615
wolf,lobo,595,610,537,20.27,23.89423077
woman,mujer,580,626,623,434.63,526.2740385
wood,madera,606,577,574,27,27.30769231
chicken,pollo,614,619,544,61.73,47.28365385
mercy,misericordia,239,373,460,25.31,
punishment,castigo,358,418,515,13.43,23.79807692
